,0,1
0,2951.0,2949.41162109375
1,2952.0,2942.802734375
2,2953.0,2947.7841796875
3,2954.0,2948.802734375
4,2955.0,2950.44921875
5,2956.0,2949.73681640625
6,2957.0,2948.397705078125
7,2958.0,2950.800537109375
8,2959.0,2952.76806640625
9,2960.0,2952.630615234375
10,2961.0,2950.97119140625
11,2962.0,2960.906982421875
12,2963.0,2960.765869140625
13,2964.0,2955.91455078125
14,2965.0,2963.824462890625
15,2966.0,2967.519775390625
16,2967.0,2967.012451171875
17,2968.0,2962.53369140625
18,2969.0,2966.11376953125
19,2970.0,2967.38037109375
20,2971.0,2969.36083984375
21,2972.0,2978.665283203125
22,2973.0,2962.32763671875
23,2974.0,2959.173828125
24,2975.0,2974.070556640625
25,2976.0,2973.133544921875
26,2977.0,2979.103759765625
27,2977.9999999999995,2964.095703125
28,2979.0,2977.9306640625
29,2980.0,2976.92041015625
30,2981.0,2975.2470703125
31,2982.0,2978.095458984375
32,2983.0,2977.99609375
33,2984.0,2979.417236328125
34,2985.0,2980.986083984375
35,2986.0,2982.985595703125
36,2987.0,2985.001953125
37,2988.0,2985.787353515625
38,2989.0,2989.56103515625
39,2990.0,2988.7978515625
40,2991.0,2990.791748046875
41,2992.0,2994.231201171875
42,2993.0,2989.46826171875
43,2994.0,2992.07373046875
44,2995.0,2988.3134765625
45,2996.0,2988.76025390625
46,2997.0,2992.030029296875
47,2998.0,2995.14111328125
48,2999.0,2993.913818359375
49,3000.0,2997.9765625
50,3001.0,3000.226318359375
51,3002.0,3000.76708984375
52,3003.0,3004.230712890625
53,3004.0,3007.098876953125
54,3005.0,3004.177734375
55,3006.0,3002.11083984375
56,3007.0,2997.721923828125
57,3008.0,2999.231201171875
58,3009.0,3008.269287109375
59,3010.0,3009.085205078125
60,3011.0,3008.849609375
61,3012.0,3011.22119140625
62,3013.0,3011.767822265625
63,3014.0,3016.725341796875
64,3015.0,3009.62841796875
65,3016.0,3015.395263671875
66,3017.0,3017.456298828125
67,3018.0,3018.10302734375
68,3019.0,3011.26220703125
69,3019.9999999999995,3022.4482421875
70,3021.0,3015.4931640625
71,3022.0,3017.14453125
72,3023.0,3017.81640625
73,3024.0,3020.388427734375
74,3025.0,3023.771240234375
75,3026.0,3024.98193359375
76,3027.0,3025.89404296875
77,3028.0,3027.78466796875
78,3029.0,3028.643798828125
79,3030.0,3027.21533203125
80,3031.0,3026.275390625
81,3032.0,3026.7890625
82,3033.0,3026.6875
83,3034.0,3025.995361328125
84,3035.0,3029.939697265625
85,3036.0,3032.894287109375
86,3037.0,3036.6923828125
87,3038.0,3036.75
88,3039.0,3039.07666015625
89,3040.0,3037.610595703125
90,3041.0,3040.65185546875
91,3042.0,3038.87939453125
92,3043.0,3039.16796875
93,3044.0,3041.606689453125
94,3045.0,3041.87890625
95,3046.0,3043.127197265625
96,3047.0,3044.3955078125
97,3048.0,3039.8310546875
98,3049.0,3047.153564453125
99,3050.0,3048.06396484375
100,3051.0000000000005,3050.82080078125
101,3052.0,3050.702392578125
102,3053.0,3052.168212890625
103,3054.0,3053.730224609375
104,3055.0,3050.5791015625
105,3056.0,3051.441162109375
106,3057.0,3052.197021484375
107,3058.0,3052.931396484375
108,3059.0,3052.807861328125
109,3060.0,3052.8203125
110,3061.0,3051.755859375
111,3062.0,3053.574462890625
112,3063.0,3056.38818359375
113,3064.0,3059.832275390625
114,3065.0,3063.660400390625
115,3066.0,3063.674072265625
116,3067.0,3066.458251953125
117,3068.0,3066.050537109375
118,3069.0,3064.95458984375
119,3070.0,3065.630615234375
120,3071.0,3065.59814453125
121,3072.0,3065.492919921875
122,3073.0,3065.942138671875
123,3074.0,3066.071044921875
124,3075.0,3068.603271484375
125,3076.0,3067.62255859375
126,3077.0,3065.41357421875
127,3078.0,3065.22607421875
128,3079.0,3059.99560546875
129,3080.0,3065.679443359375
130,3081.0,3079.02392578125
131,3082.0,3078.642333984375
132,3083.0,3077.09326171875
133,3084.0,3078.500244140625
134,3085.0,3078.3408203125
135,3086.0,3079.528076171875
136,3087.0,3076.673583984375
137,3088.0,3081.09423828125
138,3089.0,3079.724853515625
139,3090.0,3084.64599609375
140,3091.0,3087.139892578125
141,3092.0,3087.0673828125
142,3092.9999999999995,3092.00927734375
143,3094.0,3091.134765625
144,3095.0,3094.20947265625
145,3096.0,3091.14306640625
146,3097.0,3091.550537109375
147,3098.0,3094.724609375
148,3099.0,3093.564453125
149,3100.0,3090.672119140625
150,3101.0,3094.720458984375
151,3102.0,3096.19921875
152,3103.0,3084.900634765625
153,3104.0,3095.039306640625
154,3105.0,3092.893310546875
155,3106.0,3096.37939453125
156,3107.0,3094.77978515625
